lambda 				Ln-Likelihood
0.265310621242485	     			-2962.7882190033724
0.2662925851703407	     			-2962.790416433584
0.2672745490981964	     			-2962.792627461822
0.26825651302605213	     			-2962.7948519883507
0.26923847695390785	     			-2962.797089914529
0.27022044088176356	     			-2962.799341142792
0.27120240480961927	     			-2962.8016055766366
0.272184368737475	     			-2962.8038831206063
0.2731663326653307	     			-2962.8061736802765
0.2741482965931864	     			-2962.808477162238
0.2751302605210421	     			-2962.8107934740838
0.2761122244488978	     			-2962.8131225243956
0.27709418837675354	     			-2962.8154642227273
0.27807615230460925	     			-2962.8178184795934
0.27905811623246496	     			-2962.8201852064544
0.28004008016032067	     			-2962.8225643157048
0.2810220440881764	     			-2962.8249557206577
0.2820040080160321	     			-2962.827359335534
0.2829859719438878	     			-2962.829775075449
0.2839679358717435	     			-2962.8322028564007
0.2849498997995992	     			-2962.8346425952564
0.28593186372745494	     			-2962.8370942097413
0.28691382765531065	     			-2962.8395576184266
0.28789579158316636	     			-2962.8420327407193
0.28887775551102207	     			-2962.844519496849
0.2898597194388778	     			-2962.8470178078564
0.2908416833667335	     			-2962.849527595585
0.2918236472945892	     			-2962.852048782668
0.2928056112224449	     			-2962.8545812925177
0.29378757515030063	     			-2962.8571250493164
0.29476953907815634	     			-2962.859679978005
0.29575150300601205	     			-2962.862246004273
0.29673346693386776	     			-2962.8648230545496
0.2977154308617235	     			-2962.867411055993
0.2986973947895792	     			-2962.8700099364805
0.2996793587174349	     			-2962.8726196246
0.3006613226452906	     			-2962.87524004964
0.3016432865731463	     			-2962.8778711415807
0.30262525050100203	     			-2962.8805128310855
0.30360721442885774	     			-2962.883165049491
0.30458917835671345	     			-2962.885827728799
0.30557114228456916	     			-2962.8885008016687
0.3065531062124249	     			-2962.8911842014063
0.3075350701402806	     			-2962.8938778619595
0.3085170340681363	     			-2962.8965817179055
0.309498997995992	     			-2962.899295704447
0.3104809619238477	     			-2962.902019757402
0.31146292585170343	     			-2962.9047538131963
0.31244488977955914	     			-2962.907497808856
0.31342685370741485	     			-2962.9102516820003
0.31440881763527057	     			-2962.913015370834
0.3153907815631263	     			-2962.915788814139
0.316372745490982	     			-2962.9185719512693
0.3173547094188377	     			-2962.9213647221422
0.3183366733466934	     			-2962.924167067232
0.3193186372745491	     			-2962.9269789275622
0.32030060120240483	     			-2962.929800244701
0.32128256513026054	     			-2962.9326309607522
0.32226452905811626	     			-2962.9354710183497
0.32324649298597197	     			-2962.9383203606517
0.3242284569138277	     			-2962.9411789313326
0.3252104208416834	     			-2962.944046674579
0.3261923847695391	     			-2962.9469235350807
0.3271743486973948	     			-2962.949809458028
0.3281563126252505	     			-2962.9527043891035
0.32913827655310623	     			-2962.9556082744753
0.33012024048096195	     			-2962.958521060794
0.33110220440881766	     			-2962.9614426951857
0.33208416833667337	     			-2962.9643731252454
0.3330661322645291	     			-2962.967312299033
0.3340480961923848	     			-2962.9702601650665
0.3350300601202405	     			-2962.9732166723174
0.3360120240480962	     			-2962.976181770206
0.3369939879759519	     			-2962.979155408594
0.33797595190380764	     			-2962.9821375377824
0.33895791583166335	     			-2962.985128108503
0.33993987975951906	     			-2962.9881270719166
0.34092184368737477	     			-2962.991134379606
0.3419038076152305	     			-2962.994149983572
0.3428857715430862	     			-2962.9971738362274
0.3438677354709419	     			-2963.000205890395
0.3448496993987976	     			-2963.0032460993
0.3458316633266533	     			-2963.0062944165675
0.34681362725450904	     			-2963.0093507962156
0.34779559118236475	     			-2963.0124151926534
0.34877755511022046	     			-2963.015487560676
0.34975951903807617	     			-2963.018567855459
0.3507414829659319	     			-2963.021656032555
0.3517234468937876	     			-2963.02475204789
0.3527054108216433	     			-2963.027855857759
0.353687374749499	     			-2963.0309674188197
0.35466933867735473	     			-2963.034086688092
0.35565130260521044	     			-2963.037213622952
0.35663326653306615	     			-2963.0403481811277
0.35761523046092186	     			-2963.0434903206965
0.3585971943887776	     			-2963.0466400000805
0.3595791583166333	     			-2963.0497971780424
0.360561122244489	     			-2963.052961813683
0.3615430861723447	     			-2963.0561338664365
0.3625250501002004	     			-2963.059313296067
0.36350701402805613	     			-2963.0625000626655
0.36448897795591184	     			-2963.0656941266457
0.36547094188376755	     			-2963.068895448741
0.36645290581162326	     			-2963.0721039900004
0.367434869739479	     			-2963.0753197117865
0.3684168336673347	     			-2963.078542575771
0.3693987975951904	     			-2963.08177254393
0.3703807615230461	     			-2963.0850095785454
0.3713627254509018	     			-2963.088253642197
0.37234468937875753	     			-2963.09150469776
0.37332665330661324	     			-2963.094762708405
0.37430861723446895	     			-2963.098027637592
0.37529058116232467	     			-2963.101299449069
0.3762725450901804	     			-2963.1045781068656
0.3772545090180361	     			-2963.107863575295
0.3782364729458918	     			-2963.111155818949
0.3792184368737475	     			-2963.1144548026937
0.3802004008016032	     			-2963.1177604916675
0.38118236472945893	     			-2963.121072851279
0.38216432865731464	     			-2963.1243918472046
0.38314629258517036	     			-2963.127717445384
0.38412825651302607	     			-2963.131049612018
0.3851102204408818	     			-2963.1343883135683
0.3860921843687375	     			-2963.13773351675
0.38707414829659326	     			-2963.1410851885344
0.38805611222444897	     			-2963.1444432961425
0.3890380761523047	     			-2963.1478078070436
0.3900200400801604	     			-2963.151178688954
0.3910020040080161	     			-2963.1545559098336
0.3919839679358718	     			-2963.157939437882
0.3929659318637275	     			-2963.161329241538
0.39394789579158324	     			-2963.164725289478
0.39492985971943895	     			-2963.168127550611
0.39591182364729466	     			-2963.1715359940786
0.39689378757515037	     			-2963.17495058925
0.3978757515030061	     			-2963.1783713057234
0.3988577154308618	     			-2963.1817981133213
0.3998396793587175	     			-2963.185230982088
0.4008216432865732	     			-2963.1886698822887
0.4018036072144289	     			-2963.192114784407
0.40278557114228464	     			-2963.195565659143
0.40376753507014035	     			-2963.1990224774104
0.40474949899799606	     			-2963.202485210335
0.40573146292585177	     			-2963.2059538292515
0.4067134268537075	     			-2963.2094283057045
0.4076953907815632	     			-2963.212908611443
0.4086773547094189	     			-2963.2163947184195
0.4096593186372746	     			-2963.21988659879
0.41064128256513033	     			-2963.2233842249093
0.41162324649298604	     			-2963.2268875693308
0.41260521042084175	     			-2963.2303966048034
0.41358717434869746	     			-2963.2339113042717
0.4145691382765532	     			-2963.2374316408714
0.4155511022044089	     			-2963.2409575879296
0.4165330661322646	     			-2963.244489118962
0.4175150300601203	     			-2963.2480262076715
0.418496993987976	     			-2963.2515688279464
0.41947895791583173	     			-2963.2551169538583
0.42046092184368744	     			-2963.2586705596605
0.42144288577154315	     			-2963.262229619788
0.42242484969939886	     			-2963.265794108852
0.4234068136272546	     			-2963.269364001642
0.4243887775551103	     			-2963.272939273122
0.425370741482966	     			-2963.276519898431
